"","Longitude","Latitude","PM25","PM_class"
"1",-80.482778,25.471944,4.4,"1"
"2",-80.215556,25.794222,4.9291665,"1"
"3",-97.49383,25.892518,8.2136365,"1"
"4",-80.326389,25.941944,4.1,"1"
"5",-80.256944,26.053889,4.99275366666667,"1"
"6",-80.169817,26.132677,6.0083335,"1"
"7",-98.291069,26.22621,8.725,"1"
"8",-80.09647,26.292025,4.189855,"1"
"9",-80.176389,26.294167,4.91875,"1"
"10",-80.092778,26.456944,4.3,"1"
"11",-80.219619,26.687606,6.705882,"1"
"12",-82.507222,27.290556,5.1208335,"1"
"13",-97.298692,27.426981,8.7041665,"1"
"14",-99.533333,27.599444,6.0416665,"1"
"15",-82.739875,27.785866,5.71875,"1"
"16",-97.431582,27.804505,5.16875,"1"
"17",-82.731767,27.946688,5.5369565,"1"
"18",-82.2304,27.96565,7.65652166666667,"1"
"19",-81.972222,28.028889,7.2229165,"1"
"20",-81.3625,28.596389,5.7229165,"1"
"21",-100.451156,28.704607,4.5208335,"1"
"22",-81.310556,28.746111,8.4354165,"1"
"23",-81.0525,29.206667,6.1458335,"1"
"24",-94.861289,29.254474,4.1125,"1"
"25",-98.311692,29.275381,3.0208335,"1"
"26",-103.17781,29.30265,4.5108695,"1"
"27",-98.620166,29.51509,4.4083335,"1"
"28",-98.39139,29.5294,4.6354165,"1"
"29",-82.26608,29.566112,10.26666675,"1"
"30",-95.128508,29.670025,3.99722233333333,"1"
"31",-90.779731,29.679301,5.8,"1"
"32",-82.387778,29.706111,8.2,"1"
"33",-95.257593,29.733726,3.8,"1"
"34",-95.220582,29.767997,3.5,"1"
"35",-95.031232,29.770698,1.0416665,"1"
"36",-95.38769,29.81453,5.4,"1"
"37",-94.317802,29.863957,2.6125,"1"
"38",-90.109836,29.900314,5.9,"1"
"39",-95.326137,29.901036,2.2458335,"1"
"40",-93.909018,29.922894,3.6333335,"1"
"41",-90.11819,29.996013,6.5,"1"
"42",-81.633981,30.135797,7,"1"
"43",-93.866944,30.194167,2.6125,"1"
"44",-91.062552,30.219101,5.7,"1"
"45",-92.042908,30.22611,4,"1"
"46",-93.579965,30.227798,3.2,"1"
"47",-81.606833,30.262778,8.9041665,"1"
"48",-97.712883,30.263208,3.8375,"1"
"49",-89.395916,30.300833,4.2479165,"1"
"50",-97.69166,30.35386,4.5208335,"1"
"51",-81.547778,30.354722,7,"1"
"52",-88.53393,30.378287,5.2375,"1"
"53",-89.049778,30.390369,5.7125,"1"
"54",-84.346389,30.439722,11.7,"1"
"55",-91.179219,30.461981,4.54166666666667,"1"
"56",-87.880258,30.497478,5.2,"1"
"57",-91.213556,30.500642,5.9,"1"
"58",-90.377212,30.503287,4.5,"1"
"59",-87.20355,30.525367,7,"1"
"60",-88.087761,30.770181,8.1,"1"
"61",-83.2933,30.8486,12.2,"2"
"62",-97.431052,31.122419,4.2041665,"1"
"63",-81.495035,31.169805,8.5,"1"
"64",-85.390789,31.224783,12.7,"2"
"65",-89.287167,31.323639,7.5166665,"1"
"66",-110.936718,31.337204,5.0416665,"1"
"67",-109.539683,31.3492,5.4083335,"1"
"68",-82.749971,31.513097,12.8,"2"
"69",-84.0998,31.5776,18.8913043333333,"2"
"70",-106.455227,31.765685,9.1,"1"
"71",-106.683324,31.787885,7.4291665,"1"
"72",-106.584434,31.796218,12.9,"2"
"73",-102.334756,31.870253,4.725,"1"
"74",-106.599715,32.003712,11.9277776666667,"1"
"75",-81.130222,32.090779,10.225,"1"
"76",-81.161823,32.110679,9.8,"1"
"77",-110.9823,32.29515,4.313889,"1"
"78",-106.768337,32.322037,7.047619,"1"
"79",-111.038389,32.322661,4.5454545,"1"
"80",-90.182722,32.329111,9.99583333333333,"1"
"81",-90.225667,32.346722,7.9,"1"
"82",-84.9316,32.4297,21,"2"
"83",-84.999653,32.437028,21.74375,"2"
"84",-93.795179,32.471819,8.5,"1"
